Eila Pellinen;['classic finnish pop', 'classic iskelma']
Archie Semple;['classical clarinet', 'scottish jazz']
Subandrio;['focus trance']
Ugo Savarese;['italian baritone']
Miguel Bernal Jiménez;['mexican classical']
Yossi Banai;['classic israeli pop']
Lucrezia Orsina Vizzana;['italian baroque']
Zygmunt Noskowski;['late romantic era', 'polish classical']
Renato Capecchi;['classical baritone', 'italian baritone', 'italian bass']
Machito;['jazz cubano', 'latin jazz', 'mambo', 'musica tradicional cubana']
Ted Koehler;['tin pan alley']
Amanat Ali Khan;['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']
John Murphy;['epicore', 'scorecore', 'soundtrack']
Lynsey de Paul;['classic uk pop']
Pathanay Khan;['pakistani folk', 'sufi']
James Thomas;['broadway']
Sherman Edwards;['broadway']
Cuco Sánchez;['bolero', 'mariachi', 'mexican rock-and-roll', 'ranchera']
Michel Berger;['chanson', 'french pop', 'french rock']
Hendrik Andriessen;['dutch contemporary classical']
Randy Van Horne;['space age pop']
Lūcija Garūta;['baltic classical', 'baltic classical piano']
Hippolyte Belhomme;['vintage classical singing']
Paul Francis Webster;['hollywood']
Alfrēds Kalniņš;['baltic classical']
Robert Valentine;['english baroque']
Tommy Johnson;['delta blues']
Sean McGuire;['irish fiddle']
Bruno Lauzi;["canzone d'autore", 'canzone genovese', 'classic italian pop']
Carl T. Sprague;['cowboy western', 'vintage country folk']
Turner Layton;['british dance band']
Corrado Zambelli;['italian bass']
Choi Jin-young;['korean superband']
Lili Boniche;['chaabi algerien']
Bernd Clüver;['classic schlager', 'schlager', 'volksmusik']
Al Downing;['traditional rockabilly']
Rachmat Kartolo;['classic indo pop']
Ralph Willis;['country blues', 'piedmont blues']
Mort Dixon;['tin pan alley']
Alfredo Campoli;['italian violin']
Patricia Kern;['classical mezzo-soprano']
Preston Ware Orem;['american romanticism']
Ruth Welcome;['space age pop']
Magda Tagliaferro;['brazilian classical piano']
Feliks Janiewicz;['polish classical']
Mieczysław Munz;['polish classical piano']
Max Wagenknecht;['german romanticism']
Cesare Formichi;['italian baritone']
Giancarlo Bigazzi;['italian soundtrack']
Antonio Magini-Coletti;['italian baritone', 'vintage classical singing']
Singin' Sammy Ward;['deep motown']
David Parry;['opera']
Bernice Petkere;['tin pan alley']
LeRoy Holmes;['easy listening', 'exotica', 'lounge']
Blanche Ring;['vaudeville']
Gianni Raimondi;['classical tenor', 'italian tenor']
Tata Güines;['cuban rumba']
Silas Leachman;['vaudeville']
Robert Wells;['classic swedish pop']
Jessie Mae Hemphill;['blues', 'country blues', 'delta blues', 'traditional blues']
Henri Renaud;['french jazz']
Rusty Bryant;['soul jazz']
Lew Soloff;['jazz brass', 'jazz trumpet']
Giovanni Malipiero;['italian tenor']
Dan Hartman;['disco', 'post-disco']
Johann Schelle;['german baroque']
Ghazala Javed;['afghan pop']
Max Wall;['dutch moombahton']
Karl Ridderbusch;['classical bass']
Billy Murray;['vaudeville']
Vera Telenius;['classic iskelma']
Robert Docker;['light music']
Leonard Rosenman;['classic soundtrack']
Boris Shtokolov;['russian romance']
Max Goldin;['baltic classical']
Jimmy Zámbó;['classic hungarian pop', 'classic hungarian rock']
Ethel Hobday;['historic classical performance']
Ruby Hunter;['australian indigenous']
Don Ralke;['exotica', 'lounge', 'space age pop']
Barbara Jones;['lovers rock']
Louis Kaufman;['historic classical performance']
William Turner;['anglican liturgy', 'english baroque']
Don Patterson;['jazz organ', 'soul jazz']
Warren Harry;['tin pan alley']
Henri Salvador;['chanson', 'french pop']
Dave Lewis;['neo-classical']
Bennie Benjamin;['tin pan alley']
Albert Whelan;['music hall']
Severino Gazzelloni;['classical flute']
Ted Gärdestad;['classic swedish pop', 'swedish pop']
Karl Richter;['classical organ']
Francisco Lomuto;['orquesta tipica', 'tango', 'vintage tango']
Gelena Velikanova;['russian romance']
Eugenio Toussaint;['latin classical', 'mexican classical']
Bjarne Brustad;['norwegian classical']
Sandra Warfield;['cabaret']
Reuben Kee;['irish techno']
Morton Stevens;['classic soundtrack', 'theme']
Fernando De Lucia;['italian tenor', 'vintage classical singing']
Ken Thorne;['classic soundtrack']
Sylvia Telles;['bossa nova', 'brazilian jazz']
Bienvenido Granda;['bolero', 'bolero cubano', 'musica tradicional cubana']
Celius Dougherty;['american modern classical']
Édouard Du Puy;['early romantic era']
Gary McFarland;['jazz vibraphone']
Asa Singh Mastana;['punjabi folk']
Louis Köhler;['german romanticism']
Iveta Bartošová;['classic czech pop', 'slovak pop']
Adolph Hofner;['western swing']
Artemi Ayvazyan;['caucasian classical']
George Formby Sr;['music hall']
Karl Piutti;['german romanticism']
Riccardo Stracciari;['italian baritone', 'vintage classical singing']
Emigdio Ayala Báez;['polca paraguaya']
Willie Bryant;['vintage swing']
Nikoghayos Tigranian;['caucasian classical']
Joe Roland;['jazz vibraphone']
Tau Moe;['vintage hawaiian']
Charles Dalmorès;['vintage classical singing']
Emil Reesen;['danish classical']
Bob Marley;['reggae', 'roots reggae']
Bob Enevoldsen;['jazz brass', 'jazz trombone']
Momo Wandel Soumah;['afropop', 'mande pop', 'west african jazz', 'world']
Antonio Maria Mazzoni;['galante era']
Caitro Soto;['classic peruvian pop']
Shoshana Damari;['classic israeli pop']
Giacomo Vaghi;['italian bass']
Jean Catoire;['early avant garde', 'early music']
Andy Gibson;['modern country rock']
Huáscar Aparicio;['folklore boliviano']
Irving Kaufman;['vintage jazz']
Mose Vinson;['piano blues']
Frederic Cliffe;['victorian britain']
Cedric Brooks;['nyahbinghi']
Blind Blake;['acoustic blues', 'bahamian folk', 'blues', 'country blues', 'jug band', 'piedmont blues', 'pre-war blues', 'ragtime', 'traditional blues']
Zarina Baloch;['pakistani folk']
Anton Dermota;['classical tenor']
Will Marion Cook;['african-american classical']
Milton Banana;['bossa nova', 'brazilian jazz', 'samba-jazz']
Lorenzo Hierrezuelo;['son cubano']
Luiz Eça;['bossa nova', 'brazilian jazz', 'piano mpb']
Jānis Cimze;['baltic classical']
Pol Plançon;['vintage classical singing']
Mischa Levitzki;['historic piano performance', 'ukrainian classical piano']
J. Pat O'Malley;['disney', 'movie tunes']
Eldridge Holmes;['new orleans funk']
Jet Harris;['merseybeat', 'rock-and-roll']
Harry Gold;['jazz saxophone']
Spike Robinson;['jazz saxophone']
Maria Jeritza;['vintage classical singing']
Alan Breeze;['british dance band']
Luc Brewaeys;['belgian contemporary classical']
Billy Strange;['space age pop']
Anil Biswas;['classic bollywood']
Kélétigui Diabaté;['balafon']
Ola Belle Reed;['appalachian folk', 'banjo', 'north carolina roots', 'old-time', 'traditional folk']
Johnny Ace;['doo-wop', 'rhythm and blues']
Darío Moreno;['classic turkish pop']
Christian Ernst Graf;['galante era']
Giuseppe Branzoli;['late romantic era']
Jo Privat;['accordeon', 'accordion', 'bal-musette', 'jazz accordion']
Punch Miller;['jazz trumpet', 'new orleans jazz']
Gino Latilla;['canzone napoletana', 'vintage italian pop']
Samuel Coleridge-Taylor;['light music', 'post-romantic era', 'victorian britain']
Demetrio González;['mariachi', 'ranchera']
Claude François;['chanson', 'francoton', 'french pop', 'ye ye']
Johannes Kerkorrel;['african rock', 'afrikaans']
King Kester Emeneya;['african gospel', 'rumba congolaise', 'soukous']
Francesco Albanese;['italian tenor']
Pietro Castrucci;['baroque', 'italian baroque']
Master Dji;['haitian dance']
Jack Jersey;['levenslied', 'nederpop']
Brita Borg;['vintage swedish pop']
Desmond Leslie;['irish experimental', 'musique concrete']
H-Bomb Ferguson;['jump blues']
Jimmy Arnold;['instrumental bluegrass']
Paolo Lorenzani;['italian baroque']
Jozsef Gregor;['hungarian classical performance']
Peder Gram;['danish classical']
Russ Conway;['classic uk pop', 'easy listening', 'honky-tonk piano', 'merseybeat', 'old west', 'rock-and-roll']
Percy Fletcher;['light music']
William Moore;['piedmont blues']
Gordon Terry;['bluegrass fiddle']
Edward Downes;['opera']
Generoso Jiménez;['mambo', 'son cubano clasico']
Hector Ayala;['latin classical']
Kid Sheik;['jazz trumpet', 'new orleans jazz']
Tufail Niazi;['pakistani folk']
Trixie Smith;['harlem renaissance', 'vintage swing']
Bronisław Kaper;['classic soundtrack']
Ion Dolănescu;['muzica populara', 'romanian folk']
Natalie Hinderas;['american classical piano']
Mary Martin;['broadway']
Hubert Rostaing;['jazz clarinet']
Ariel Ramírez;['latin classical']
Johann Melchior Molter;['baroque', 'german baroque']
Stanley Kirkby;['music hall']
Enzo Mascherini;['italian baritone']
Charles Band;['funk', 'soul', 'southern soul']
Eva Taylor;['torch song']
Münir Nurettin Selçuk;['turkish classical', 'turkish jazz']
Louis Killen;['northumbrian folk', 'shanty', 'traditional british folk']
Emmy;['country rock', 'folk', 'folk rock', 'lilith', 'melancholia', 'mellow gold', 'roots rock', 'singer-songwriter', 'traditional folk']
Lord Kitchener;['calypso', 'rock steady']
Ron Grainer;['classic soundtrack', 'hauntology', 'theme']
Pat Flowers;['stride']
Knut Nystedt;['contemporary classical', 'nordic contemporary classical']
Gioconda de Vito;['historic classical performance', 'italian violin']
Walter Van Brunt;['vaudeville']
George Duvivier;['jazz double bass']
Frank Glazer;['american classical piano']
Casper Reardon;['jazz harp']
Don Bowman;['outlaw country']
Alyn Ainsworth;['bass trip']
Barbara Randolph;['motown']
Rupert Ignaz Mayr;['german baroque']
Sam Donahue;['jazz saxophone']
Orlando Otey;['latin american classical piano']
C. O. Anto;['italian baroque ensemble']
Hansi Lang;['austropop']
Carla Gavazzi;['italian soprano']
Renato Zanelli;['vintage classical singing']
Anselmo Colzani;['italian baritone']
Hampartsoum Limondjian;['caucasian classical']
Iqbal Bahu;['pakistani folk']
Todd Rhodes;['rhythm and blues']
Freddy Johnson;['dixieland']
Sidney De Paris;['jazz trumpet']
William Child;['english baroque']
György Sebők;['hungarian classical piano']
Jokkmokks-Jokke;['vintage swedish pop']
Leo Smith;['avant-garde jazz', 'contemporary jazz', 'free improvisation', 'free jazz', 'jazz trumpet', 'tzadik']
Inga Juuso;['sami', 'yoik']
Rick James;['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'synth funk']
John D. Burgess;['bagpipe']
Lawrence Welk;['easy listening', 'lounge', 'polka']
Nikos Xilouris;['classic greek pop', 'entehno', 'kritika', 'laiko', 'neo kyma', 'rebetiko']
Joe Puma;['jazz guitar']
Mikey Dread;['dub', 'old school dancehall', 'reggae', 'roots reggae']
Joseph Labitzky;['czech classical']
Rakoto Frah;['malagasy folk']
Edward Edwards;['sound team']
Vincenzo Bettoni;['italian bass']
Mary Dickenson-Auner;['irish classical']
Esther Lekain;['vintage chanson']
Ñico Saquito;['musica tradicional cubana', 'trova']
Emmanuel Nunes;['portuguese contemporary classical']
Giuseppe Matteo Alberti;['italian baroque']
Subas Herrero;['manila sound']
Ted Taylor;['classic soul', 'southern soul']
François Schubert;['german romanticism']
Joe Glazer;['american folk revival']
Muzzy Marcellino;['exotica', 'lounge']
Clifford T. Ward;['classic uk pop']
Mikalojus Konstantinas Čiurlionis;['baltic classical', 'post-romantic era']
Pavel Křížkovský;['czech classical']
Kunnakudi Vaidyanathan;['carnatic', 'carnatic instrumental', 'indian classical', 'indian violin']
Bugs Henderson;['texas blues']
Ahmad Zahir;['afghan pop', 'afghan traditional']
Marcelle Meyer;['historic piano performance']
